D,N,num_classes,x,y
114,1,1,2101249,196800
114,1,1,4307559425,403439904
114,1,1,8830494720001,827051606400
114,1,1,18102509868442625,1695455389680096
114,1,1,37110136399812661249,3475682721792590400
114,1,1,76075761517106087117825,7125147884219420639904
114,1,1,155955273999931078778880001,14606549686967090519212800
114,1,1,319708235624097194390616884225,29943419733134651344965600096
114,1,1,655401727074125248569685833781249,61383995846376348290088960984000
47,-101,0,0,0
37,-73,0,0,0
110,-96,0,0,0
187,-179,0,0,0
89,137,0,0,0
20,-142,0,0,0
113,89,0,0,0
195,-73,0,0,0
175,195,0,0,0
165,164,0,0,0
24,-70,0,0,0
53,-139,0,0,0
118,13,0,0,0
140,-71,0,0,0
163,71,0,0,0
149,183,0,0,0
11,-61,0,0,0
13,58,0,0,0
155,78,0,0,0
20,-114,0,0,0
80,143,0,0,0
90,-82,0,0,0
75,-54,0,0,0
105,139,0,0,0
26,-135,0,0,0
175,-65,0,0,0
38,-84,0,0,0
188,192,0,0,0
109,-95,0,0,0
66,-169,0,0,0
65,-24,0,0,0
151,-6,2,725,59
151,-6,2,2505821808937,203920886785
151,-6,2,8660862095407462066235,704810961625119302741
151,-6,2,29934503709777397139770909049863,2436035363805930275392130668495
151,-6,2,103462507828849075398132542951670549370805,8419659478663810690886330730741928696859
151,-6,2,357597060235820370180255443814513152101988878894537,29100836051040572526336481266440933371201139344225
151,-6,2,1235961317512589820934703276025912979320415379375112417144155,100581105567934210735312817483529422871537352076236709441141
151,-6,2,4271848256750399548386919808655700638666017295891400744832678842517863,347638080896517186233254772591037636309220412288235866622313489683055
151,-6,2,14764772384161239496287519940418458366140148732975735520753852759918314799732885,1201540136261355236330047330579760614772711361364284033050567602846426729483259
151,-6,2,51031424913468746154687881466239751662146480987745300776832282643111451817690076630072937,4152878462922787958467378094000773553944057596663800719130046835204865680497895017641665
151,-6,2,7150937,581935
151,-6,2,24715755521427685,2011339659314741
151,-6,2,85424968922948863661823863,6951785380038074803933345
151,-6,2,295253985222509979490100507815929355,24027428558026908193570249245472859
151,-6,2,1020485191728939169787089815047257127581604537,83045907137588455317004948291712725504159375
151,-6,2,3527098967870780874798318977133249845322259133527385605,287031243299690998741391931563222481452571822262277141
151,-6,2,12190698336423825883083915479526321908260840764907642311628323863,992064961054248264078111959668005679495391746911852488807747905
151,-6,2,42134662872644190614778376415067365793541744576121235838400855051129971435,3428870235997150942192951936701955132716266941352565381151891135417435259
151,-6,2,145629870118841655244440594135737963445060505615282767124759548016961077529674150937,11851190755505627691677741421397127389465001221962455945323595469018178160527736815
151,-6,2,503339949222661547119936804431577920347567544505852450311317552177473109939987996509751455525,40961224151586339405256356062031368577275565083962091258278370409720725243821736349538749941
140,-35,1,35,3
140,-35,1,5005,423
140,-35,1,710675,60063
140,-35,1,100910845,8528523
140,-35,1,14328629315,1210990203
140,-35,1,2034564451885,171952080303
140,-35,1,288893823538355,24415984412823
140,-35,1,41020888377994525,3466897834540563
140,-35,1,5824677255851684195,492275076520347123
140,-35,1,827063149442561161165,69899593968054750903
163,-69,0,0,0
17,-35,0,0,0
130,107,0,0,0
181,110,0,0,0
151,-109,0,0,0
76,177,4,3121,358
76,177,4,360779719,41384272
76,177,4,41705413953841,4783939074298
76,177,4,4821062441875332199,553013789069315932
76,177,4,557305176114199237586161,63927287984050844033038
76,177,4,64423363743628141024609707079,7389866635827295679461810792
